"name_h","Team_type","Team_size_class","human_members_count","bot_members_count","human_work","work_per_human","human_gini","human_Push","human_IssueComments","human_PRReviewComment","human_MergedPR","bot_work","bot_Push","bot_IssueComments","bot_PRReviewComment","bot_MergedPR","eval_survival_day_median","issues_count"
"_1bqaxzCk0sfQaunsjeViQ/RCEZ3CASdLXbstu9y2JQ7Q","human-bot","Small",2,1,66,33,0.287878787878787,29,33,4,0,43,0,43,0,0,87,8
"_9o07rGiC7DFyi-zm91Q0g/VOgMsrjYEwFAq0BY8kHqGQ","human","Small",2,0,62,31,0.46774193548387,62,0,0,0,0,0,0,0,0,NA,NA
"_DzK53uaZXnAX3WcC0W28g/Epc4QWw5PNBQIIdvopEHDA","human","Large",7,0,211,30.1428571428571,0.499661475964793,194,16,1,0,0,0,0,0,0,37,46
"_l5u7I5p4thtW5SjR_9_4w/aZNCdVXta7fh7eCMzZP1CA","human-bot","Large",234,12,14579,62.3034188034188,0.738342470114196,1942,11430,1170,37,1972,0,1972,0,0,1,4757
"_l5u7I5p4thtW5SjR_9_4w/m_FpD7PKQHqVXHn2bh7u2g","human-bot","Large",38,8,1625,42.7631578947368,0.666607287449392,203,1270,152,0,302,0,302,0,0,2,777
"_MBt32zyzeoPBK5Qpr2-gw/CqmUS060ynlHbpG6HpG-Vw","human","Small",3,0,106,35.3333333333333,0.270440251572327,14,54,38,0,0,0,0,0,0,1,15
"_sQ6xJ9hNSqBFkGY4zz77w/23YwKNnurtTYtFtDr8LvGw","human","Small",3,0,20,6.66666666666666,0.533333333333333,18,2,0,0,0,0,0,0,0,NA,NA
"_tXSQBezuZlCm49OBpg3Xw/H6MGNdGo8WEha0cOetq5tw","human","Small",2,0,161,80.5,0.462732919254658,124,37,0,0,0,0,0,0,0,8,33
"_yD8m1Di58SxsWVtbFs8qA/-UAPBK3VxONRihRwJV8rbQ","human","Medium",5,0,219,43.8,0.22283105022831,219,0,0,0,0,0,0,0,0,NA,NA
"_z9vVq5Z7BCZiuGlZ9NOrQ/_z9vVq5Z7BCZiuGlZ9NOrQ","human-bot","Small",3,1,405,135,0.589300411522633,401,4,0,0,19,0,19,0,0,2,130
"-2eEmMGH_9GMVVn0WImTyA/fqB6po6-zxOceVyOZhgyNg","human-bot","Large",16,1,5105,319.0625,0.572930950048971,734,1984,2313,74,558,0,558,0,0,40,248
"-CoOUqJ5oC3eWiMo18FzNA/Dz7o5Mos1kXJNTlVMaHtbg","human","Small",2,0,23,11.5,0.282608695652173,23,0,0,0,0,0,0,0,0,NA,NA
"-kbZBDvEaaEYA2AiSSvq0Q/qKjRSEx-9OspoSuS6l3q4w","human-bot","Small",2,1,433,216.5,0.301385681293302,421,5,7,0,15,0,15,0,0,NA,NA
"-m9ya9ka2XQnLuxs55JE2A/49VEwDhZmHQYriyiDG3eSg","human","Small",3,0,120,40,0.227777777777777,120,0,0,0,0,0,0,0,0,NA,NA
"-ML5S77s0i2zWxllttaeJw/BtP5bHntwIkM88Qway1Q5Q","human","Large",9,0,896,99.5555555555555,0.727182539682539,375,510,11,0,0,0,0,0,0,0,270
"-Ob3pt9Z4PmXWqo3xgZpkA/oN9xVi_6kHZBzlGKkJLlDw","human","Small",3,0,57,19,0.467836257309941,46,11,0,0,0,0,0,0,0,1,29
"-tVHk9HSho7ce-8rFAjs9A/SlU_7Aa9mjT2eu0B0OjWBQ","human","Small",2,0,173,86.5,0.430635838150289,53,120,0,0,0,0,0,0,0,2,91
"-VBsDowjPrv6Gc92IQmkCw/57UxK7W6j5KXykdZEO-9Aw","human-bot","Small",3,1,146,48.6666666666666,0.643835616438356,146,0,0,0,42,42,0,0,0,NA,NA
"-VBsDowjPrv6Gc92IQmkCw/c0DwadNZWJRzNMqmUyFrlQ","human-bot","Medium",6,1,111,18.5,0.656156156156156,111,0,0,0,291,291,0,0,0,NA,NA
"-VBsDowjPrv6Gc92IQmkCw/olrfeQUtrBa_TqSnmM5Gzg","human-bot","Large",12,1,300,25,0.617777777777777,291,7,2,0,144,139,5,0,0,NA,NA
"0_i2yUqqQXqOqRd8kyC-pQ/yrrxKjGqkqQ9S6ELsPmmCw","human","Medium",4,0,57,14.25,0.355263157894736,54,3,0,0,0,0,0,0,0,NA,NA
"05CtW4OlNx8ZQEHqdg4D0A/qBJZzvjpWcYk3x1Fbl0ylw","human-bot","Medium",4,1,13,3.25,0.288461538461538,12,1,0,0,13,11,2,0,0,NA,NA
"0BtB0xHccNFSJpCITe2UPg/aTocB97iW8l3vdobXm4n3g","human-bot","Small",2,1,53,26.5,0.40566037735849,44,5,4,0,18,0,18,0,0,NA,NA
"0f9cvWcu8pKJl1o5bGKEiw/lFR5Fo_8F3qOlo3Sbv9hzg","human-bot","Large",11,1,1961,178.272727272727,0.737471605396133,1069,319,561,12,141,0,141,0,0,3,427
"0Jb-T8Py7O9d0fsJhO-Fpw/0ZyiRbLUtWP4uU0481CrcA","human-bot","Small",2,1,69,34.5,0.239130434782608,0,15,54,0,58,37,21,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/9CTgx1gdJFtNJTvxhIZZUA","human-bot","Small",2,1,8,4,0.125,6,1,1,0,13,13,0,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/D-kWwOGGgx1lyqq0SaB3Hg","human-bot","Small",2,1,2,1,0,2,0,0,0,69,40,29,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/Fiq28J6fBxWRHY488lzXjw","human-bot","Small",3,1,35,11.6666666666666,0.133333333333333,19,4,12,0,28,21,7,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/iO4bRWz6mrUVj8nn4zpjBQ","human-bot","Small",2,1,22,11,0.227272727272727,4,0,18,0,3,3,0,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/M7iXmEuARYRyqKKfoZjAkw","human-bot","Small",2,1,23,11.5,0.326086956521739,9,3,11,0,28,15,13,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/OeEnv21rUaAGZUVGe1lW4w","human-bot","Small",2,1,25,12.5,0.1,20,1,4,0,42,21,21,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/rwCxyocq77Et9MLBctA5ig","human-bot","Small",2,1,36,18,0.25,1,4,31,0,71,51,20,0,0,NA,NA
"0Jb-T8Py7O9d0fsJhO-Fpw/TjlzNzwYdgEidxHzg9liQw","human-bot","Small",2,1,93,46.5,0.188172043010752,21,4,68,0,44,22,22,0,0,NA,NA
"0MSCypBPqH6wOKkMednZLg/M-Fsij2kAaViWDhjjMVjSw","human-bot","Large",7,1,875,125,0.553469387755102,802,63,3,7,23,0,23,0,0,5,30
"0tSFBIz2tzBkhwKgfSq7UQ/n51RvHDvIcpcFPMHmAop2A","human-bot","Medium",6,1,527,87.8333333333333,0.625237191650853,184,226,117,0,70,0,70,0,0,1,60
